protein_id,n_residues,seconds,cached
2GXG,140,3.764222600031644,False
2GZQ,191,7.652418299985584,False
2HQK,213,8.125712600012776,False
2I24,113,3.7241357000311837,False
2HYK,237,10.139009000035003,False
2IBL,108,1.8681883999961428,False
2IGD,61,1.5414560999488458,False
2FN9,560,27.85731210000813,False
2IP6,87,3.052101999986917,False
2IVY,88,2.2319636000320315,False
2IMF,203,7.806370600010268,False
2JKU,35,0.4402295000036247,False
2JLI,100,3.481715700007044,False
2J9W,200,6.970334800018463,False
2J32,244,10.388556699967012,False
2NLS,36,1.1906808000057936,False
2JLJ,115,4.883819999988191,False
2MCM,112,5.110541499976534,False
2I49,398,21.47659289999865,False
2NUH,104,4.141054000006989,False
2OA2,132,5.020617000001948,False
2NR7,194,7.803580999956466,False
2OCT,192,6.483848600008059,False
2OL9,6,0.053417099989019334,False
2OLX,4,0.037679500004742295,False
2PKT,91,2.4858559999847785,False
2O6X,306,15.540879200038034,False
2OHW,256,10.4335463999887,False
2PLT,98,3.904250600025989,False
2PMR,76,2.1860929999966174,False
2PPN,107,3.691538200015202,False
2OKT,342,14.836086700030137,False
2Q4N,153,4.339861799962819,False
2PTH,193,8.373400200041942,False
2QJL,99,2.9223344000056386,False
2POF,440,19.883437899989076,False
2R16,175,7.0131254000007175,False
2R6Q,138,5.104464899981394,False
2RB8,93,2.97706120001385,False
2Q52,412,17.825086599972565,False
2PSF,608,28.013502400019206,False
2RFR,154,4.997888500045519,False
2V9V,135,4.261299300007522,False
2VH7,94,3.263369199994486,False
2VIM,104,3.5897273999871686,False
2RE2,238,10.890435399953276,False
2VQ4,106,3.371731900027953,False
2VPA,204,5.5370766000123695,False
2VY8,149,5.003519499965478,False
2VYO,206,8.859355100023095,False
2W6A,117,2.7830630999524146,False
2WJ5,96,2.100941100041382,False
2VE8,515,22.404420000035316,False
2WUJ,100,2.801663499965798,False
2W2A,350,14.230208900000434,False
2WW7,150,4.741296699969098,False
2WWE,111,3.2202983000315726,False
2X25,168,7.158071999961976,False
2X3M,166,6.757258100027684,False
2X1Q,240,9.578699799953029,False
2W1V,548,31.93429089995334,False
2X5Y,171,7.172258600010537,False
2Y0T,101,3.3335228000069037,False
2X9Z,262,11.148031899996568,False
2Y72,170,6.343948800000362,False
2XHF,310,14.794515699963085,False
2Y9F,149,7.8479042000253685,False
2Y7L,319,17.546107599977404,False
2YNY,315,15.144752599997446,False
2YLB,400,20.45885689998977,False
3A0M,148,4.0078151999623515,False
2ZCM,357,15.944305499957409,False
3A7L,128,4.86783080000896,False
3AUB,116,3.7099904000060633,False
2ZU1,360,17.436008299991954,False
3B5O,230,9.777366899943445,False
3BQX,139,4.424408699967898,False
3BA1,312,14.403757399995811,False
3BZQ,99,3.695727900019847,False
3BZZ,100,4.445725700003095,False
3BED,261,15.331251399999019,False
3AMC,614,30.26465750002535,False
3E7R,40,0.982785000000149,False
3E5T,228,8.967634000000544,False
3EUR,140,5.422649099957198,False
3DWV,325,13.778601000027265,False
3F2Z,149,5.504373800009489,False
3FCN,158,5.280836499994621,False
3FE7,91,2.6703016000101343,False
3FMY,66,1.907650500012096,False
3FOD,48,0.6946526000392623,False
3F7E,254,10.728189699992072,False
3DRF,547,26.096107699966524,False
3FVA,6,0.060232499963603914,False
3FKE,250,9.493648600007873,False
3FSO,221,8.5853224999737,False
3FTD,240,9.789938500034623,False
3GHJ,116,3.2159889000467956,False
3GBW,161,6.564515500038397,False
3HFO,197,6.909633400035091,False
3HNY,156,6.798230100015644,False
3G1S,418,22.64834479999263,False
3HYD,7,0.061634099984075874,False
3HWU,144,6.204462800000329,False
3HP4,183,8.990283499995712,False
3I2V,124,4.1887717000208795,False
3I2Z,138,4.797569999995176,False
3HZ8,192,7.178441900003236,False
3I4O,135,4.732674800034147,False
3I7M,134,4.73695960000623,False
3IHS,169,6.229677599971183,False
3IVV,149,5.555522800015751,False
3KBE,140,5.1220701999845915,False
3KZD,85,2.3349557999754325,False
3KGK,190,6.49842630000785,False
3K6Y,227,10.864329200005159,False
3LAA,169,3.978364499984309,False
3LAX,106,3.1023545999778435,False
3L41,220,8.368329499964602,False
3LJI,272,13.312814800010528,False
3M3P,249,10.768345299991779,False
3M8J,178,5.656980999978259,False
3M9J,210,8.09315329999663,False
3M9Q,176,4.8818296999670565,False
3MD4,12,0.12250639998819679,False
3MD5,12,0.11041119997389615,False
3MAB,173,6.303554599988274,False
3MEA,166,6.230965199996717,False
3HHP,1234,71.26885529997526,False
3LG3,833,38.31190919998335,False
3MGN,348,10.44643890002044,False
3NGG,94,2.5073812999762595,False
3MRE,383,14.86863770004129,False
3NVG,6,0.05742990004364401,False
3NZL,73,1.9415530000114813,False
3N11,325,15.324580500018783,False
3NE0,208,10.352914100047201,False
3O5P,128,5.805083299987018,False
3OBQ,150,6.95764949999284,False
3O0P,194,10.722034300037194,False
3P6J,125,6.410859199997503,False
3OQY,234,10.825137900013942,False
3PD7,188,8.805565299990121,False
3PES,165,5.4434977999771945,False
3PIW,154,5.32257059996482,False
3NPV,495,31.43238170002587,False
3PSM,94,2.877057599951513,False
3PKV,221,8.789673199993558,False
3PID,387,16.373314899974503,False
3PZZ,12,0.12542380002560094,False
3Q2X,6,0.07042309996904805,False
3Q6L,131,3.7042553000501357,False
3PVE,347,16.00101290002931,False
3PTL,289,19.77994709997438,False
3PZ9,357,16.998501499998383,False
3QDS,284,11.302290300023742,False
3R87,132,4.268758699996397,False
3RQ9,162,5.074253699975088,False
3RY0,128,3.5637109000235796,False
3QPA,197,10.629700599994976,False
3R6D,221,9.612403600011021,False
3SD2,86,2.0149194999830797,False
3RZY,139,3.8387095000362024,False
3S0A,119,4.171346699993592,False
3SED,124,5.0916690999874845,False
3SO6,150,8.139020500006154,False
3SEB,238,11.122707000002265,False
3SUK,248,13.220888800045941,False
3T0H,208,9.047058700001799,False
3T3K,122,3.790711299981922,False
3T47,141,4.408420599997044,False
3TOW,152,4.93275660002837,False
3TUA,210,8.084128500020597,False
3SR3,637,35.684528600017074,False
3TDN,357,15.804109400021844,False
3TYS,75,1.5819997999933548,False
3UCI,72,1.598199600004591,False
3U97,77,2.0443993999506347,False
3SZH,697,33.899590499990154,False
3V1A,48,0.9517842999775894,False
3US6,148,4.588487699977122,False
3U6G,248,10.948683900001924,False
3VN0,193,4.415034600009676,False
3VUB,101,2.9755811999784783,False
3VVV,108,3.024323399993591,False
3VOR,182,7.87584870000137,False
3V75,285,13.110378800018225,False
3VZ9,163,4.997114999976475,False
3ZBD,213,6.899184499983676,False
3ZIT,152,4.814273000054527,False
3UR8,637,27.680848599993624,False
3ZSL,138,4.341770600003656,False
3ZZP,74,1.9551019999780692,False
3ZRX,221,7.871740200032946,False
4A02,166,6.612754600006156,False
3ZZY,226,7.959747300017625,False
4ACJ,167,6.310419599991292,False
4AE7,186,6.921793900022749,False
4ANN,176,5.622424300003331,False
4AXY,54,1.0899145000148565,False
4AVR,188,8.07827769999858,False
4AM1,345,14.71716210001614,False
3W4Q,773,40.70069909997983,False
4B9G,292,12.321449399983976,False
4DND,95,2.3286499000387266,False
4DPZ,109,3.2528583999956027,False
4DKN,423,16.252298399980646,False
4B6G,558,28.211089699994773,False
4DD5,387,23.3457779000164,False
4DT4,160,3.709628699987661,False
4ES1,95,2.2688574999920093,False
4DQ7,328,11.986733200028539,False
4EK3,287,9.964214099978562,False
4EUG,225,8.169410900038201,False
4F3J,143,4.798164900043048,False
4G14,15,0.16496940003708005,False
4FR9,141,4.0264456999721006,False
4ERY,318,16.821814699971583,False
4G2E,151,5.182217399997171,False
4F01,448,15.577447100018617,False
4G7X,194,6.126440800027922,False
4GA2,144,4.341289699950721,False
4GMQ,92,2.644585800007917,False
4GS3,90,2.1619498999789357,False
4H89,168,5.2129158999887295,False
4H4J,236,8.997154899989255,False
4HDE,168,5.8860616000019945,False
4HWM,117,3.5898478999733925,False
4G5X,550,26.747435399971437,False
4IL7,85,2.4085646999883465,False
4HJP,281,10.749214100011159,False
4G6C,658,33.71171120001236,False
4J5Q,146,5.038066999986768,False
4J5O,220,7.582935100013856,False
4J11,357,12.562534400029108,False
4JG2,185,6.346708400000352,False
4JVU,207,7.811604599992279,False
4KEF,133,4.474560700007714,False
5CYT,103,2.8531258999719284,False
6RXN,45,0.8786636000149883,False
4J78,305,14.490128299978096,False
4JYP,534,17.626105099974666,False
